0,1,6228
0,1,3691
0,1,4224
0,1,2921
0,1,924
0,1,1062
0,1,3701
0,1,469
0,1,5138
0,1,1063
1,1,8317
2,1,4177
2,1,280
2,1,3210
2,1,2659
3,1,4259
3,1,3606
3,1,3878
3,1,3870
3,1,4111
3,1,953
3,1,1873
3,1,7909
3,1,2104
3,1,1550
3,1,535
3,1,5181
4,1,3322
4,1,2405
4,1,3119
4,1,4935
4,1,6449
4,1,4838
4,1,1691
4,1,3480
4,1,3436
4,1,5771
4,1,284
4,1,1758
4,1,5978
4,1,5551
5,1,3913
5,1,5047
5,1,4709
5,1,2304
5,1,2733
5,1,4920
5,1,2586
5,1,8378
5,1,8329
5,1,8325
5,1,1230
5,1,5984
5,1,2644
5,1,6446
5,1,2452
5,1,2452
5,1,7223
5,1,7223
5,1,1310
5,1,2654
5,1,3279
5,1,6750
5,1,5273
5,1,284
5,1,983
5,1,6312
5,1,2247
5,1,2935
5,1,4105
5,1,5281
5,1,1301
5,1,4785
5,1,3353
5,1,4674
5,1,2874
5,1,3452
5,1,3361
6,1,8759
6,1,8759
6,1,321
6,1,1961
6,1,1581
6,1,7494
6,1,284
6,1,983
6,1,3375
6,1,1301
7,1,8759
7,1,1581
7,1,1380
7,1,284
7,1,1301
8,1,8759
8,1,8759
8,1,1581
8,1,7301
8,1,2382
8,1,2935
8,1,5099
8,1,1301
8,1,1301
9,1,1218
9,1,3882
9,1,5275
9,1,2685
9,1,442
10,1,6562
10,1,8759
10,1,8690
10,1,1581
10,1,5054
10,1,8158
10,1,6087
10,1,1301
11,1,3653
11,1,1044
11,1,2806
11,1,2829
11,1,285
11,1,8638
11,1,4007
11,1,56
11,1,2921
11,1,1478
11,1,6695
11,1,5274
11,1,4031
11,1,786
11,1,2048
11,1,6734
11,1,4814
11,1,2910
11,1,246
11,1,5946
11,1,5585
11,1,2117
11,1,5105
11,1,733
11,1,4676
11,1,723
11,1,1035
11,1,942
11,1,287
12,1,2806
12,1,4007
12,1,1381
12,1,56
12,1,6695
12,1,2161
12,1,5274
12,1,786
12,1,2048
12,1,3264
12,1,733
12,1,3452
12,1,1035
12,1,942
13,1,4741
14,1,4224
14,1,5347
14,1,4031
14,1,36
14,1,3522
14,1,2662
14,1,246
14,1,6400
14,1,5042
14,1,4616
14,1,762
14,1,5181
14,1,5138
14,1,105
15,1,1249
15,1,3655
15,1,8780
15,1,1425
15,1,5817
15,1,5671
15,1,6624
15,1,8653
15,1,5778
15,1,302
15,1,7038
15,1,2247
15,1,6261
15,1,2935
15,1,1883
15,1,1450
15,1,18
16,1,3655
16,1,8780
16,1,1425
16,1,5817
16,1,5671
16,1,6624
16,1,8653
16,1,1259
16,1,302
16,1,284
16,1,2247
16,1,2935
16,1,1883
16,1,18
17,1,216
17,1,8510
17,1,2885
17,1,2935
18,1,4718
18,1,7262
18,1,8636
