368,OSGIN2
369,C9
370,MRPL49
371,MPPED2
372,DAGLA
373,FMNL1
374,TMEM50B
375,CA1
376,CA2
377,CA4
378,CA5A
379,CA6
380,CA7
381,CA9
382,CA11
383,CA12
384,CACNA1A
385,CACNA1B
386,CACNA1C
387,CACNA1D
388,CACNA1E
389,CACNA1F
390,CACNA1S
391,DDR1
392,CACNA2D1
393,CACNB1
394,CACNB2
395,CACNB3
396,CACNG1
397,SLC25A20
398,CAD
399,CALB2
400,CALCR
401,CALD1
402,CALR
403,CALU
404,CAMK4
405,CAMK2A
406,CAMK2D
407,CAMK2G
408,CANX
409,CAPG
410,CAPN1
411,CAPN2
412,CAPN3
413,CAPN6
414,CAPS
415,CAPZA2
416,CAST
417,CASP1
418,CASP2
419,CASP4
420,CASP5
421,CASP6
422,CASP7
423,CASP8
424,CASP9
425,CASQ1
426,CASQ2
427,CASR
428,CAT
429,CAV1
430,CAV3
431,RUNX2
432,RUNX1
433,RUNX1T1
434,CBFA2T3
435,CBFB
436,SERPINA6
437,CBL
438,CBLB
439,CBLN1
440,CBR1
441,CBS
442,CCIN
443,CCBL1
444,CCKAR
445,CCKBR
446,KRIT1
447,CCNA2
448,CCNB1
449,CCNC
450,CCND3
451,CCNE1
452,CCNF
453,CCNG2
454,CCNH
455,CCNT1
456,CCNT2
457,CCT6A
458,CD1A
459,CD1B
460,CD1C
461,CD1D
462,CD1E
463,CD2
464,CD3E
465,CD3G
466,CD247
467,CD4
468,CD5
469,CD5L
470,CD8A
471,CD9
472,CD14
473,CD19
474,MS4A1
475,CD22
476,CD28
477,CD80
478,CD86
479,TNFRSF8
480,TNFSF8
481,CD33
482,SIGLEC6
483,CD34
484,CD36
485,SCARB1
486,SCARB2
487,CD37
488,CD38
489,ENTPD1
490,ENTPD2
491,ENTPD6
492,ENTPD5
493,CD40
494,CD40LG
495,CD44
496,CD53
497,CD58
498,CD59
499,CD68
500,CD69
501,CD72
502,CD79A
503,CD79B
504,CD97
505,CD151
506,CDK1
507,CDK11B
508,LRBA
509,CDC5L
510,CDC6
511,CDC20
512,CDC25A
513,CDC25B
514,CDC25C
515,CDC27
516,CDH1
517,CDH2
518,CDH3
519,CDH4
520,CDH6
521,CDH7
522,CDH8
523,CDH9
524,CDH10
525,CDH11
526,CDH12
527,CDH13
528,CDH15
529,CDH16
530,CDH17
531,CDH18
532,CDK2
533,CDK3
534,CDK4
535,CDK5
536,CDK6
537,CDK7
538,CDK8
539,CDKN1B
540,CDKN2D
541,CDO1
542,CDR1
543,CDR2
544,CDS1
545,CDSN
546,CD52
547,CDX2
548,CDX4
549,CEACAM5
550,CEL
551,CENPB
552,CENPE
553,CENPF
554,CES1
555,CETN1
556,CETP
557,CFTR
558,CGA
559,CEACAM3
560,CEACAM4
561,CHAD
562,RCBTB2
563,CHAT
564,CHD1
565,CHD2
566,CHD3
567,CHD4
568,AKR1C4
569,FOXN3
570,CHGA
571,CHGB
572,CHI3L1
573,CHI3L2
574,CHKB
575,CHM
576,CHML
577,CHN1
578,CHN2
579,CHRM1
580,CHRM2
581,LYST
582,CHRM3
583,CHRM4
584,CHRM5
585,CHRNA1
586,CHRNA3
587,CHRNA4
588,CHRNB1
589,CHRNB2
590,CHRNB3
591,CHRNB4
592,CHRND
593,CHRNG
594,CHUK
595,CKB
596,CIRBP
597,CISH
598,CKMT1B
599,CKMT2
600,ERCC8
601,AP2M1
602,AP1S1
603,CLC
604,CLCA1
605,CLCN1
606,CLCN2
607,CLCN3
608,CLCN4
609,CLCN5
610,CLCN6
611,CLCN7
612,CLCNKA
613,CLCNKB
614,CLU
615,CLIC1
616,CLIC2
617,CLK1
618,CLK3
619,TPP1
620,CLN3
621,CLN5
622,CLNS1A
623,CLPTM1
624,CLTA
625,CLTC
626,CMA1
627,CCR1
628,CCR3
629,CCR4
630,CCR5
631,CCR7
632,CMKLR1
633,ABCC2
634,CNGB1
635,CNGA1
636,CNGA2
637,CNGA3
638,CNGA4
639,PLK3
640,CNN1
641,CNN2
642,CNN3
643,CNP
644,CNR1
645,CNR2
646,CNTFR
647,CNTN1
648,COL1A1
649,COL1A2
650,COL2A1
651,COL3A1
652,COL4A1
653,COL4A2
654,COL4A3
655,COL4A4
656,COL4A5
657,COL4A6
658,COL5A1
659,COL5A2
660,COL6A1
661,COL6A2
662,COL6A3
663,COL7A1
664,COL8A1
665,COL9A1
666,COL9A2
667,COL9A3
668,COL10A1
669,COL11A1
670,COL11A2
671,COL12A1
672,COL13A1
673,COL15A1
674,COL16A1
675,COL17A1
676,COL19A1
677,COMP
678,COPA
679,COPB1
680,KLF6
681,SLC31A1
682,MAP3K8
683,COX6C
684,COX8A
685,COX10
686,COX15
687,CP
688,CPA1
689,CPA2
690,CPA3
691,CPB1
692,CPB2
693,CPD
694,CPE
695,CPN1
696,CPN2
697,CPS1
698,CPT1A
699,CPT1B
700,CPT2
